tarih1,ilce,bildirimsiz_sum,bildirimli_sum,t_2m:C,effective_cloud_cover:p,global_rad:W,relative_humidity_2m:p,wind_dir_10m:d,wind_speed_10m:ms,prob_precip_1h:p,t_apparent:C,Tatil
01-01,izmir-kemalpasa,4.5,0.0,10.05,35.025,0.0,94.975,114.025,1.7,1.0,9.7,1.0
01-01,izmir-kinik,2.0,0.0,11.2,58.3,0.0,87.35,133.85,1.35,1.0,11.4,1.0
01-01,izmir-kiraz,3.0,0.0,8.366666666666667,17.366666666666664,0.0,95.13333333333333,64.5,1.3666666666666665,1.0,8.166666666666666,1.0
01-01,izmir-konak,10.0,0.0,11.875,33.224999999999994,0.0,88.8,153.9,2.2,1.0,12.05,1.0
01-01,izmir-menderes,7.75,0.0,9.975,35.0,0.0,91.15,237.95,1.975,1.0,9.475,1.0
01-01,izmir-menemen,3.5,0.0,10.325,32.65,0.0,89.4,86.075,2.275,1.0,9.775,1.0
01-01,izmir-narlidere,1.5,0.0,12.3,1.2000000000000002,0.0,83.15,182.3,1.55,1.0,12.45,1.0
01-01,izmir-odemis,6.5,0.25,10.075,19.950000000000003,0.0,74.4,31.025,1.175,1.0,10.0,1.0
01-01,izmir-seferihisar,6.0,0.0,12.675,42.325,0.0,86.875,64.67500000000001,4.025,1.0,12.75,1.0
01-01,izmir-selcuk,1.0,0.0,8.7,6.0,0.0,96.7,356.6,1.3,1.0,8.7,1.0
01-01,izmir-tire,3.6666666666666665,0.0,10.566666666666668,15.666666666666666,0.0,81.63333333333334,101.63333333333333,1.0333333333333332,1.0,10.633333333333333,1.0
01-01,izmir-torbali,5.25,0.0,9.45,31.400000000000002,0.0,88.175,131.475,1.425,1.0,9.475000000000001,1.0
01-01,izmir-urla,8.25,0.0,11.725,42.725,0.0,88.775,169.025,3.65,1.0,11.225,1.0
01-01,manisa-ahmetli,1.5,0.0,7.3,33.1,0.0,84.55,181.0,0.9,1.0,7.3,1.0
01-01,manisa-akhisar,3.75,0.75,7.75,42.7,0.0,90.7,61.175000000000004,1.675,1.0,7.1,1.0
01-01,manisa-alasehir,4.0,0.0,9.175,19.975,0.0,87.275,221.825,1.1,1.0,9.05,1.0
01-01,manisa-demirci,1.0,0.0,4.266666666666667,27.099999999999998,0.0,89.60000000000001,70.06666666666666,1.5999999999999999,1.0,3.3000000000000003,1.0
01-01,manisa-golmarmara,1.5,0.0,7.85,43.150000000000006,0.0,92.8,172.5,1.2,1.0,7.699999999999999,1.0
01-01,manisa-gordes,3.5,0.0,7.25,46.45,0.0,80.65,58.05,1.0,1.0,7.25,1.0
01-01,manisa-kirkagac,2.5,0.0,8.025,54.75,0.0,95.15,244.0,1.625,1.0,7.15,1.0
01-01,manisa-koprubasi,1.6666666666666667,0.0,9.299999999999999,34.36666666666667,0.0,93.93333333333334,154.9,1.0333333333333332,1.0,9.133333333333333,1.0
01-01,manisa-kula,2.3333333333333335,0.0,7.1000000000000005,26.933333333333337,0.0,83.96666666666667,273.3666666666667,1.0333333333333334,1.0,6.966666666666666,1.0
01-01,manisa-salihli,5.75,0.0,10.225,21.25,0.0,77.875,184.35,1.225,1.0,10.025,1.0
01-01,manisa-sarigol,2.5,0.0,9.1,40.45,0.0,92.1,133.2,1.25,1.0,8.85,1.0
01-01,manisa-saruhanli,3.5,0.0,8.675,25.425,0.0,87.275,130.075,0.9750000000000001,1.0,8.75,0.0
01-01,manisa-sehzadeler,5.0,0.25,9.8,28.025000000000002,0.0,86.925,189.825,1.0,1.0,9.75,0.0
01-01,manisa-selendi,1.3333333333333333,0.3333333333333333,6.066666666666666,8.8,0.0,89.33333333333333,63.53333333333333,1.2666666666666668,1.0,5.433333333333334,0.0
01-01,manisa-soma,2.75,0.5,8.95,51.55,0.0,93.8,82.2,1.575,1.0,8.6,0.0
01-01,manisa-turgutlu,5.0,0.0,9.0,15.866666666666669,0.0,83.3,200.23333333333335,1.9666666666666668,1.0,8.233333333333333,0.0
01-01,manisa-yunusemre,9.25,0.75,10.0,27.900000000000002,0.0,86.775,189.5,1.0,1.0,10.025,0.0
01-02,izmir-aliaga,6.25,0.0,10.3,6.625,0.0,88.6,91.725,2.5,1.0,9.65,0.0
01-02,izmir-balcova,2.25,0.75,11.875,15.325,0.0,85.025,182.54999999999998,1.65,1.0,12.075,0.0
01-02,izmir-bayindir,4.25,0.25,9.875,24.95,0.0,80.3,38.05,1.7750000000000001,1.0,9.65,0.0
01-02,izmir-bayrakli,6.75,1.0,10.45,7.875,0.0,89.35,80.15,1.6749999999999998,1.0,10.325,0.0
01-02,izmir-bergama,7.25,0.5,8.875,17.15,0.0,88.075,111.14999999999999,1.4,1.0,8.45,0.0
01-02,izmir-beydag,3.5,0.0,9.5,36.5,0.0,98.85,115.4,1.05,1.0,9.5,0.0
01-02,izmir-bornova,10.25,1.25,9.7,7.05,0.0,91.95,81.225,1.7,1.0,9.225,0.0
01-02,izmir-buca,7.25,0.75,9.7,12.4,0.0,87.95,168.1,1.575,1.0,9.625,0.0
01-02,izmir-cesme,20.75,1.25,13.325,24.525,0.0,82.525,91.4,3.7,1.0,13.275,0.0
01-02,izmir-cigli,5.75,0.25,10.475000000000001,13.5,0.0,87.05,80.675,1.675,1.0,10.375,0.0
01-02,izmir-dikili,6.25,0.25,10.55,14.575,0.0,87.975,86.025,2.2,1.0,10.15,0.0
01-02,izmir-foca,4.0,0.0,11.725,7.25,0.0,89.1,96.425,3.575,1.0,11.425,0.0
01-02,izmir-gaziemir,2.5,0.0,9.6,26.025000000000002,0.0,87.875,171.15,1.5,1.0,9.025,0.0
01-02,izmir-guzelbahce,3.0,0.0,11.233333333333334,14.933333333333335,0.0,84.96666666666665,69.56666666666668,1.9666666666666668,1.0,11.333333333333334,0.0
01-02,izmir-karabaglar,9.0,0.75,10.45,12.65,0.0,86.925,173.925,1.625,1.0,10.475,0.0
01-02,izmir-karaburun,15.25,0.25,12.225,9.05,0.0,91.85,114.85,2.85,1.0,12.425,0.0
01-02,izmir-karsiyaka,5.5,0.5,10.825000000000001,10.625,0.0,86.925,169.45,1.625,1.0,10.825,0.0
01-02,izmir-kemalpasa,7.5,1.25,9.575,13.675,0.0,94.375,105.7,1.325,1.0,9.275,0.0
01-02,izmir-kinik,1.3333333333333333,0.6666666666666666,8.633333333333335,20.533333333333335,0.0,92.33333333333333,106.10000000000001,1.2,1.0,8.266666666666667,0.0
01-02,izmir-kiraz,3.75,1.5,8.075,30.675,0.0,93.05,67.75,1.375,1.0,7.45,0.0
01-02,izmir-konak,14.0,1.0,11.3,11.575000000000001,0.0,86.975,172.05,1.625,1.0,11.45,0.0
01-02,izmir-menderes,10.5,1.25,9.0,36.375,0.0,91.875,241.35,1.375,1.0,8.625,0.0
01-02,izmir-menemen,7.75,2.0,8.825,11.75,0.0,93.625,67.0,1.775,1.0,8.1,0.0
01-02,izmir-narlidere,5.5,0.0,12.25,15.125,0.0,84.75,187.5,1.6500000000000001,1.0,12.525,0.0
01-02,izmir-odemis,15.0,2.25,8.9,26.45,0.0,73.5,120.15,1.225,1.0,8.675,0.0
01-02,izmir-seferihisar,9.75,0.5,11.5,16.049999999999997,0.0,88.1,60.475,2.95,1.0,11.575,0.0
01-02,izmir-selcuk,5.0,0.0,10.6,55.3,0.0,95.1,86.3,1.7,1.0,10.8,0.0
01-02,izmir-tire,11.25,0.0,9.475,13.775,0.0,84.85,106.075,1.2,1.0,9.4,0.0
01-02,izmir-torbali,7.5,0.5,8.875,34.7,0.0,88.4,128.0,1.125,1.0,8.825,0.0
01-02,izmir-urla,18.5,0.25,10.6,14.7,0.0,90.95,86.5,2.5,1.0,10.35,0.0
01-02,manisa-ahmetli,1.3333333333333333,0.6666666666666666,5.3,30.066666666666666,0.0,88.3,177.36666666666667,1.3333333333333333,1.0,4.6000000000000005,0.0
01-02,manisa-akhisar,10.75,1.75,6.925,13.9,0.0,92.125,53.775,0.95,1.0,6.824999999999999,0.0
01-02,manisa-alasehir,9.0,1.75,8.9,33.975,0.0,83.15,203.6,0.8500000000000001,1.0,8.9,0.0
01-02,manisa-demirci,3.5,0.5,4.75,46.6,0.0,94.9,97.95,1.15,1.0,4.75,0.0
01-02,manisa-golmarmara,1.0,0.0,8.1,4.45,0.0,88.4,73.0,1.0,1.0,7.8,0.0
01-02,manisa-gordes,4.5,0.25,5.525,27.125,0.0,87.47500000000001,129.45,1.325,1.0,4.949999999999999,0.0
01-02,manisa-kirkagac,3.0,0.0,7.533333333333334,13.800000000000002,0.0,95.96666666666665,192.36666666666667,1.0666666666666667,1.0,7.166666666666667,0.0
01-02,manisa-koprubasi,1.3333333333333333,0.0,7.533333333333334,26.866666666666664,0.0,97.3,79.03333333333333,1.3,1.0,7.0,0.0
01-02,manisa-kula,4.75,0.5,5.525,22.475,0.0,84.6,167.70000000000002,1.3,1.0,4.8,0.0
01-02,manisa-salihli,16.25,1.25,10.75,18.45,0.0,68.4,176.075,0.925,1.0,10.8,0.0
01-02,manisa-sarigol,5.333333333333333,0.0,8.433333333333332,48.73333333333334,0.0,96.0,154.53333333333333,1.0666666666666667,1.0,8.433333333333332,0.0
01-02,manisa-saruhanli,4.5,0.75,8.325,10.875,0.0,90.525,99.1,0.75,1.0,8.325,0.0
01-02,manisa-sehzadeler,10.5,0.25,10.1,9.475,0.0,87.45,201.75,0.275,1.0,10.3,0.0
01-02,manisa-selendi,1.5,0.0,6.175,24.549999999999997,0.0,94.25,62.15,1.325,1.0,5.449999999999999,0.0
01-02,manisa-soma,4.25,2.0,7.925,15.275,0.0,95.5,78.8,1.375,1.0,7.5,0.0
01-02,manisa-turgutlu,7.75,0.25,8.35,17.95,0.0,85.15,175.55,1.175,1.0,8.025,0.0
01-02,manisa-yunusemre,11.75,1.25,10.25,9.325,0.0,87.4,204.825,0.275,1.0,10.5,0.0
01-03,izmir-aliaga,5.5,0.0,10.725000000000001,18.075,0.0,83.2,102.975,3.225,1.0,10.425,0.0
01-03,izmir-balcova,1.0,0.3333333333333333,12.0,34.56666666666666,0.0,82.06666666666666,142.53333333333333,1.9666666666666668,1.0,12.1,0.0
01-03,izmir-bayindir,3.25,0.75,9.825,7.025,0.0,79.075,39.8,2.125,1.0,9.85,0.0
01-03,izmir-bayrakli,5.333333333333333,0.0,10.9,16.73333333333333,0.0,88.73333333333333,79.03333333333333,1.8333333333333333,1.0,11.033333333333333,0.0
01-03,izmir-bergama,7.25,0.75,7.550000000000001,18.700000000000003,0.0,84.775,95.6,1.8,1.0,6.475,0.0
01-03,izmir-beydag,2.0,1.0,9.9,3.3,0.0,86.2,125.6,1.0,1.0,9.9,0.0
01-03,izmir-bornova,9.25,1.5,9.350000000000001,9.825,0.0,85.65,82.725,1.7000000000000002,1.0,9.1,0.0
01-03,izmir-buca,5.75,0.25,9.35,20.975,0.0,82.1,163.35,1.525,1.0,9.2,0.0
01-03,izmir-cesme,9.0,2.25,13.5,25.375,0.0,75.425,113.325,3.3249999999999997,1.0,13.275,0.0
01-03,izmir-cigli,2.6666666666666665,0.6666666666666666,10.833333333333334,25.46666666666667,0.0,86.39999999999999,110.93333333333334,2.266666666666667,1.0,10.700000000000001,0.0
01-03,izmir-dikili,3.75,0.25,10.05,23.95,0.0,86.8,81.5,2.05,1.0,9.65,0.0
01-03,izmir-foca,5.0,0.5,11.4,22.65,0.0,85.6,94.65,3.375,1.0,11.275,0.0
01-03,izmir-gaziemir,1.3333333333333333,0.3333333333333333,9.533333333333333,44.5,0.0,83.46666666666665,95.96666666666665,1.3333333333333333,1.0,9.066666666666668,0.0
01-03,izmir-guzelbahce,1.5,0.5,12.2,4.55,0.0,74.80000000000001,121.3,1.8,1.0,12.25,0.0
01-03,izmir-karabaglar,4.75,1.25,10.2,22.55,0.0,82.95,174.55,1.7,1.0,10.2,0.0
01-03,izmir-karaburun,5.5,0.25,12.6,31.7,0.0,89.25,110.55,2.75,1.0,12.8,0.0
01-03,izmir-karsiyaka,3.0,2.5,10.475,17.475,0.0,83.325,171.275,1.75,1.0,10.55,0.0
01-03,izmir-kemalpasa,3.0,0.75,9.9,5.275,0.0,81.525,103.57499999999999,1.425,1.0,9.525,0.0
01-03,izmir-kinik,1.0,0.6666666666666666,9.666666666666666,13.700000000000001,0.0,88.36666666666667,120.46666666666665,1.4333333333333333,1.0,9.366666666666667,0.0
01-03,izmir-kiraz,3.75,1.25,7.5249999999999995,5.35,0.0,85.075,61.325,1.425,1.0,6.824999999999999,0.0
01-03,izmir-konak,6.75,0.5,10.975,20.6,0.0,83.025,173.45,1.675,1.0,11.075,0.0
01-03,izmir-menderes,7.75,0.25,9.125,39.724999999999994,0.0,84.25,228.67499999999998,1.525,1.0,8.725,0.0
01-03,izmir-menemen,3.0,0.75,8.8,8.875,0.0,87.625,72.675,2.175,1.0,8.075,0.0
01-03,izmir-narlidere,1.6666666666666667,0.0,12.333333333333334,28.0,0.0,74.46666666666667,214.4333333333333,1.8,1.0,12.299999999999999,0.0
01-03,izmir-odemis,6.5,2.0,9.175,3.85,0.0,69.4,37.1,1.3,1.0,8.850000000000001,0.0
01-03,izmir-seferihisar,4.25,0.5,11.45,30.25,0.0,81.2,66.125,2.8000000000000003,1.0,11.125,0.0
01-03,izmir-selcuk,1.3333333333333333,0.6666666666666666,10.4,22.03333333333333,0.0,78.23333333333333,106.2,1.2333333333333334,1.0,10.4,0.0
01-03,izmir-tire,4.25,0.25,9.375,7.2,0.0,79.9,109.67500000000001,1.275,1.0,9.125,0.0
01-03,izmir-torbali,7.25,0.25,8.0,19.575,0.0,87.025,217.075,1.4249999999999998,1.0,7.4,0.0
01-03,izmir-urla,9.75,1.5,10.875,26.125,0.0,82.275,83.05000000000001,2.525,1.0,10.65,0.0
01-03,manisa-ahmetli,3.0,0.0,7.2,68.4,0.0,99.9,179.7,1.1,1.0,7.2,0.0
01-03,manisa-akhisar,5.75,1.75,6.0,5.65,0.0,89.8,57.25,1.475,1.0,5.525,0.0
01-03,manisa-alasehir,6.333333333333333,0.6666666666666666,8.233333333333334,6.933333333333333,0.0,70.83333333333333,218.83333333333334,1.2,1.0,8.033333333333333,0.0
01-03,manisa-demirci,1.3333333333333333,1.0,3.9,36.36666666666667,0.0,94.06666666666666,94.16666666666667,1.2666666666666666,1.0,2.966666666666667,0.0
01-03,manisa-golmarmara,1.5,0.5,8.2,5.55,0.0,90.35,39.099999999999994,0.75,1.0,8.2,0.0
01-03,manisa-gordes,2.75,0.75,5.2,17.825,0.0,78.85,74.525,1.35,1.0,4.7,0.0
01-03,manisa-kirkagac,2.5,0.0,6.25,29.05,0.0,94.9,90.15,0.9,1.0,6.0,0.0
01-03,manisa-koprubasi,1.0,0.0,7.2,8.0,0.0,100.0,82.2,1.3,1.0,7.2,0.0
01-03,manisa-kula,2.0,0.6666666666666666,6.966666666666666,18.2,0.0,68.83333333333333,131.0666666666667,1.5,1.0,6.366666666666667,0.0
01-03,manisa-salihli,7.75,1.25,9.775,14.85,0.0,68.3,153.1,0.925,1.0,9.775,0.0
01-03,manisa-sarigol,2.75,0.25,7.45,12.8,0.0,84.5,130.575,0.9,1.0,7.45,0.0
01-03,manisa-saruhanli,4.0,0.25,7.449999999999999,21.175,0.0,88.675,110.075,1.0250000000000001,1.0,7.1,0.0
01-03,manisa-sehzadeler,6.5,1.5,9.1,7.75,0.0,82.725,164.45,0.9,1.0,9.149999999999999,0.0
01-03,manisa-selendi,4.0,0.0,3.1,0.0,0.0,81.0,64.0,1.5,1.0,1.8,0.0
01-03,manisa-soma,1.25,0.25,7.2250000000000005,21.650000000000002,0.0,96.775,94.125,1.375,1.0,6.675000000000001,0.0
01-03,manisa-turgutlu,3.75,0.75,8.275,4.175,0.0,82.975,179.875,0.75,1.0,8.275,0.0
01-03,manisa-yunusemre,7.5,0.75,9.275,7.375,0.0,82.67500000000001,163.85,0.925,1.0,9.225000000000001,0.0
01-04,izmir-aliaga,8.75,1.25,10.725000000000001,32.15,0.0,83.175,127.1,2.825,1.0,10.625,0.0
01-04,izmir-balcova,1.25,0.0,11.7,29.075,0.0,80.375,147.275,2.2,1.0,11.375,0.0
01-04,izmir-bayindir,4.0,0.75,9.125,37.175,0.0,78.85,46.55,1.125,1.0,9.15,0.0
01-04,izmir-bayrakli,3.75,2.0,10.275,29.65,0.0,83.55,105.925,1.625,1.0,10.175,0.0
01-04,izmir-bergama,8.75,0.75,8.575,22.099999999999998,0.0,81.675,148.975,1.15,1.0,8.35,0.0
01-04,izmir-beydag,1.25,0.5,9.425,32.75,0.0,76.85,134.425,0.825,2.625,9.575,0.0
01-04,izmir-bornova,16.75,2.5,9.425,29.75,0.0,85.3,106.8,1.525,1.0,9.3,0.0
01-04,izmir-buca,6.75,1.5,9.65,30.4,0.0,80.575,113.925,1.725,1.0,9.375,0.0
01-04,izmir-cesme,14.75,1.0,14.15,43.974999999999994,0.0,75.39999999999999,147.575,3.425,1.0,13.825,0.0
01-04,izmir-cigli,6.0,1.75,11.175,29.575,0.0,82.375,115.6,2.55,1.0,11.25,0.0
01-04,izmir-dikili,5.0,1.0,11.225,22.275,0.0,81.025,119.85,2.15,1.0,11.025,0.0
01-04,izmir-foca,6.75,0.25,11.725,41.875,0.0,86.6,124.17500000000001,2.95,1.0,11.8,0.0
01-04,izmir-gaziemir,1.75,0.0,9.35,30.575000000000003,0.0,80.2,181.0,1.475,1.0,9.025,0.0
01-04,izmir-guzelbahce,7.333333333333333,0.3333333333333333,11.700000000000001,24.03333333333333,0.0,77.06666666666666,110.66666666666667,2.766666666666667,1.0,11.633333333333333,0.0
01-04,izmir-karabaglar,11.75,0.25,10.15,29.375,0.0,82.0,134.325,1.95,1.0,9.8,0.0
01-04,izmir-karaburun,21.333333333333332,1.3333333333333333,12.733333333333334,40.833333333333336,0.0,87.23333333333333,119.23333333333333,2.3000000000000003,1.0,12.833333333333334,0.0
01-04,izmir-karsiyaka,5.5,1.75,11.1,28.975,0.0,81.3,118.05,1.975,1.0,10.85,0.0
01-04,izmir-kemalpasa,10.25,2.75,10.25,35.425,0.0,82.025,132.05,1.05,1.8,10.3,0.0
01-04,izmir-kinik,2.75,0.25,8.95,18.575,0.0,82.675,141.35,1.275,1.0,8.775,0.0
01-04,izmir-kiraz,3.75,0.25,8.525,33.974999999999994,0.0,72.55,135.4,1.0,1.675,8.5,0.0
01-04,izmir-konak,16.5,0.5,11.125,29.225,0.0,82.025,129.1,1.95,1.0,10.899999999999999,0.0
01-04,izmir-menderes,8.25,1.0,8.774999999999999,31.174999999999997,0.0,83.3,177.85,1.25,1.0,8.55,0.0
01-04,izmir-menemen,11.5,0.75,8.625,29.5,0.0,87.775,98.5,1.85,1.0,7.95,0.0
01-04,izmir-narlidere,6.5,0.25,12.35,29.275,0.0,79.35,150.875,2.5,1.0,12.5,0.0
01-04,izmir-odemis,10.0,1.75,9.4,32.125,0.0,62.275000000000006,115.4,1.2,1.0,9.2,0.0
01-04,izmir-seferihisar,5.5,0.75,11.925,32.0,0.0,82.45,112.05,2.925,1.0,11.625,0.0
01-04,izmir-selcuk,2.25,0.5,9.5,31.4,0.0,85.15,104.45,1.625,1.575,9.275,0.0
01-04,izmir-tire,9.75,1.25,8.85,30.25,0.0,76.475,143.575,1.05,1.0,8.85,0.0
01-04,izmir-torbali,9.0,0.5,8.45,28.35,0.0,84.15,148.875,1.35,1.0,8.075,0.0
01-04,izmir-urla,17.75,0.75,11.425,33.075,0.0,81.47500000000001,116.625,2.525,1.0,11.3,0.0
01-04,manisa-ahmetli,4.5,0.5,6.25,65.44999999999999,0.0,81.85,206.95,1.3,1.0,5.55,0.0
01-04,manisa-akhisar,9.75,1.5,5.825,27.4,0.0,83.5,61.625,0.9,1.0,5.9,0.0
01-04,manisa-alasehir,11.25,0.25,8.825,38.0,0.0,73.925,168.075,0.85,1.0,8.925,0.0
01-04,manisa-demirci,2.75,0.25,3.675,40.525,0.0,78.55000000000001,128.9,1.225,1.0,3.4000000000000004,0.0
01-04,manisa-golmarmara,2.5,0.0,5.35,24.85,0.0,73.8,85.0,1.1,1.0,5.35,0.0
01-04,manisa-gordes,3.25,0.0,5.9,43.0,0.0,70.625,85.05,0.825,1.0,5.9,0.0
01-04,manisa-kirkagac,3.6666666666666665,0.6666666666666666,6.666666666666667,21.46666666666667,0.0,81.63333333333334,223.03333333333333,1.1333333333333333,1.0,6.266666666666667,0.0
01-04,manisa-koprubasi,2.6666666666666665,0.3333333333333333,8.333333333333334,43.866666666666674,0.0,87.96666666666665,182.36666666666667,0.8333333333333334,2.8666666666666667,8.4,0.0
01-04,manisa-kula,5.5,0.5,7.625,34.575,0.0,65.625,138.375,0.95,1.0,7.475,0.0
01-04,manisa-salihli,15.75,1.5,10.05,35.525,0.0,61.0,133.975,0.975,1.0,10.0,0.0
01-04,manisa-sarigol,5.0,0.75,7.75,35.025000000000006,0.0,78.25,146.0,0.95,5.6,7.825,0.0
01-04,manisa-saruhanli,8.5,0.75,6.925,27.924999999999997,0.0,86.1,126.275,0.6499999999999999,1.0,7.025,0.0
01-04,manisa-sehzadeler,18.5,0.25,8.875,28.625,0.0,83.6,202.55,0.75,1.0,9.0,0.0
01-04,manisa-selendi,2.25,0.0,5.775,35.349999999999994,0.0,79.05,126.325,1.475,1.0,4.699999999999999,0.0
01-04,manisa-soma,2.5,0.0,7.0,20.875,0.0,91.7,119.225,1.3250000000000002,1.0,6.875,0.0
01-04,manisa-turgutlu,11.25,0.75,8.600000000000001,36.825,0.0,77.3,178.85,0.8500000000000001,2.75,8.475000000000001,0.0
01-04,manisa-yunusemre,20.5,3.0,9.1,28.475,0.0,83.2,201.125,0.75,1.0,9.275,0.0
01-05,izmir-aliaga,5.0,0.0,12.6,44.525,0.0,84.325,135.625,4.225,14.375,11.875,0.0
01-05,izmir-balcova,1.0,0.0,13.0,66.1,0.0,91.7,140.6,3.2,1.0,13.2,0.0
01-05,izmir-bayindir,3.75,0.0,11.475,56.925,0.0,84.625,94.92500000000001,1.6,1.0,11.4,0.0
01-05,izmir-bayrakli,2.0,0.3333333333333333,11.9,57.9,0.0,83.2,109.66666666666667,3.6,2.3000000000000003,11.0,0.0
01-05,izmir-bergama,5.75,0.5,10.25,63.0,0.0,87.725,210.275,1.8,14.05,9.7,0.0
01-05,izmir-beydag,1.3333333333333333,0.0,9.166666666666666,44.833333333333336,0.0,78.86666666666666,122.86666666666667,1.6666666666666667,1.0,8.6,0.0
01-05,izmir-bornova,5.5,0.75,11.175,50.4,0.0,89.05,117.725,3.05,1.825,10.45,0.0
01-05,izmir-buca,3.75,0.75,10.825,38.925000000000004,0.0,87.375,189.85,3.0500000000000003,2.2,10.425,0.0
01-05,izmir-cesme,11.5,0.5,14.55,44.175,0.0,81.625,159.45000000000002,7.2250000000000005,19.8,14.175,0.0
01-05,izmir-cigli,6.0,0.0,12.233333333333334,28.5,0.0,80.10000000000001,114.60000000000001,3.6333333333333333,6.066666666666666,11.733333333333334,0.0
01-05,izmir-dikili,5.75,0.25,13.025,54.45,0.0,84.225,136.425,3.225,18.65,12.625,0.0
01-05,izmir-foca,2.5,0.75,13.225,42.7,0.0,88.725,133.325,6.275,21.8,12.45,0.0
01-05,izmir-gaziemir,1.0,0.0,9.850000000000001,46.65,0.0,80.85,243.75,3.8000000000000003,3.7,8.75,0.0
01-05,izmir-guzelbahce,2.0,0.0,12.799999999999999,50.1,0.0,85.56666666666666,113.66666666666667,5.466666666666666,8.933333333333334,12.033333333333333,0.0
01-05,izmir-karabaglar,2.25,0.5,11.325,36.55,0.0,86.3,188.625,3.15,2.35,11.0,0.0
01-05,izmir-karaburun,2.25,0.0,13.35,43.125,0.0,91.5,146.35,5.1,24.475,13.45,0.0
01-05,izmir-karsiyaka,4.75,0.25,12.4,37.6,0.0,84.825,104.67500000000001,3.15,2.0,12.15,0.0
01-05,izmir-kemalpasa,4.5,0.0,10.675,63.45,0.0,92.65,151.35,2.475,1.0,10.175,0.0
01-05,izmir-kinik,1.3333333333333333,0.0,11.066666666666668,51.03333333333333,0.0,83.5,135.53333333333333,2.5,2.966666666666667,10.433333333333334,0.0
01-05,izmir-kiraz,1.3333333333333333,0.3333333333333333,11.166666666666666,71.7,0.0,84.73333333333333,167.96666666666667,1.3,1.0,11.333333333333334,0.0
01-05,izmir-konak,7.25,0.5,12.35,36.9,0.0,85.975,190.675,3.125,2.25,12.175,0.0
01-05,izmir-menderes,8.75,0.0,10.024999999999999,40.275,0.0,91.85,211.32500000000002,2.7,1.0,9.5,0.0
01-05,izmir-menemen,3.5,0.5,11.375,36.9,0.0,87.8,119.0,3.175,8.75,10.65,0.0
01-05,izmir-narlidere,1.0,0.0,13.600000000000001,33.05,0.0,92.0,163.60000000000002,3.05,1.0,14.0,0.0
01-05,izmir-odemis,3.75,0.5,9.25,50.824999999999996,0.0,79.85,40.6,1.7,1.0,8.85,0.0
01-05,izmir-seferihisar,2.75,0.75,13.65,38.675,0.0,85.0,126.625,5.125,12.725,13.15,0.0
01-05,izmir-selcuk,1.0,0.0,13.2,34.3,0.0,96.2,182.5,1.0,1.0,14.1,0.0
01-05,izmir-tire,5.25,0.25,11.525,53.4,0.0,77.5,135.35,1.575,1.0,11.6,0.0
01-05,izmir-torbali,4.25,0.75,10.325,41.05,0.0,84.775,167.82500000000002,1.875,1.0,10.1,0.0
