tarih,ilce,bildirimsiz_sum,bildirimli_sum,t_2m:C,effective_cloud_cover:p,global_rad:W,relative_humidity_2m:p,wind_dir_10m:d,wind_speed_10m:ms,prob_precip_1h:p,t_apparent:C,Tatil,tarih1
2021-02-06,izmir-aliaga,2,0,10.7,1.2,0.0,87.8,121.4,1.6,1.0,10.8,0,02-06
2021-02-07,izmir-aliaga,6,2,13.1,0.0,0.0,88.4,161.5,4.0,1.0,13.1,0,02-07
2021-02-08,izmir-aliaga,24,1,15.5,73.7,0.0,69.7,177.2,5.8,1.0,14.5,0,02-08
2021-02-09,izmir-aliaga,6,0,14.7,5.5,0.0,85.0,183.7,9.2,1.0,14.2,0,02-09
2021-02-10,izmir-aliaga,5,0,15.3,91.2,0.0,77.1,189.6,7.8,1.0,14.5,0,02-10
2021-02-11,izmir-aliaga,4,1,14.0,12.1,0.0,90.0,171.1,5.3,1.0,14.0,0,02-11
2021-02-12,izmir-aliaga,4,1,13.1,67.9,0.0,91.1,183.7,7.8,1.0,12.9,0,02-12
2021-02-13,izmir-aliaga,2,1,7.1,18.3,0.0,72.0,59.5,3.9,1.0,4.5,0,02-13
2021-02-14,izmir-aliaga,8,0,7.2,100.0,0.0,72.6,52.8,6.6,1.0,3.5,0,02-14
2021-02-15,izmir-aliaga,22,0,4.2,96.0,0.0,78.7,47.2,10.3,1.0,-1.6,0,02-15
2021-02-16,izmir-aliaga,16,0,2.8,90.9,0.0,73.3,29.4,9.8,1.0,-3.3,0,02-16
2021-02-17,izmir-aliaga,8,1,0.6,62.5,0.0,70.4,22.9,8.4,1.0,-5.7,0,02-17
2021-02-18,izmir-aliaga,5,0,1.7,45.3,0.0,77.8,57.9,3.2,1.0,-1.7,0,02-18
2021-02-19,izmir-aliaga,11,1,3.8,0.0,0.0,82.3,88.8,2.7,1.0,1.2,0,02-19
2021-02-20,izmir-aliaga,2,1,4.5,7.0,0.0,83.3,61.3,3.9,1.0,1.3,0,02-20
2021-02-21,izmir-aliaga,5,2,7.3,97.8,0.0,58.9,44.3,5.1,1.0,4.2,0,02-21
2021-02-22,izmir-aliaga,3,1,5.8,2.4,0.0,67.9,59.9,5.1,1.0,2.2,0,02-22
2021-02-23,izmir-aliaga,3,1,8.2,2.2,0.0,64.1,40.2,3.6,1.0,6.0,0,02-23
2021-02-24,izmir-aliaga,5,2,10.6,0.0,0.0,55.6,22.5,2.7,1.0,10.4,0,02-24
2021-02-25,izmir-aliaga,3,1,7.6,27.6,0.0,78.9,33.3,7.3,1.0,3.7,0,02-25
2021-02-26,izmir-aliaga,4,0,8.8,0.0,0.0,76.9,50.2,7.0,1.0,5.4,0,02-26
2021-02-27,izmir-aliaga,4,1,10.0,0.0,0.0,77.7,47.0,3.6,1.0,8.2,0,02-27
2021-02-28,izmir-aliaga,5,0,11.2,0.0,0.0,65.4,32.3,2.5,1.0,11.0,0,02-28
2021-03-01,izmir-aliaga,2,0,6.6,0.0,0.0,67.0,29.7,6.3,1.0,2.7,0,03-01
2021-03-02,izmir-aliaga,6,0,7.3,5.7,0.0,75.1,32.2,7.1,1.0,3.4,0,03-02
2021-03-03,izmir-aliaga,1,0,6.4,77.0,0.0,78.0,21.5,6.7,1.0,2.3,0,03-03
2021-03-04,izmir-aliaga,2,0,6.9,0.2,0.0,78.9,34.5,6.1,1.0,3.3,0,03-04
2021-03-05,izmir-aliaga,5,0,8.4,0.0,0.0,71.5,92.4,1.3,1.0,8.4,0,03-05
2021-03-06,izmir-aliaga,5,0,12.4,26.5,0.0,83.5,166.9,4.4,1.0,12.3,0,03-06
2021-03-07,izmir-aliaga,7,1,11.5,91.3,0.0,87.1,43.8,5.7,1.0,11.3,0,03-07
2021-03-08,izmir-aliaga,14,1,5.7,0.0,0.0,75.4,53.5,4.8,1.0,2.3,0,03-08
2021-03-09,izmir-aliaga,8,1,8.6,50.0,0.0,76.7,78.8,1.6,1.0,7.9,0,03-09
2021-03-10,izmir-aliaga,2,0,10.6,35.1,0.0,68.2,60.3,4.2,1.0,10.4,0,03-10
2021-03-11,izmir-aliaga,3,1,11.5,9.1,0.0,82.6,157.1,2.1,1.0,11.5,0,03-11
2021-03-12,izmir-aliaga,3,0,5.0,6.6,0.0,68.9,37.8,6.8,1.0,0.5,0,03-12
2021-03-13,izmir-aliaga,10,3,8.3,25.5,0.0,78.5,21.7,2.0,1.0,7.2,0,03-13
2021-03-14,izmir-aliaga,5,0,10.4,35.1,0.0,79.6,134.3,1.5,1.0,10.4,0,03-14
2021-03-15,izmir-aliaga,8,1,12.5,26.8,0.0,85.7,150.8,3.6,1.0,12.5,0,03-15
2021-03-16,izmir-aliaga,10,0,10.4,19.9,0.0,94.6,193.7,5.3,1.0,10.4,0,03-16
2021-03-17,izmir-aliaga,6,0,8.5,61.7,0.0,85.6,202.6,1.2,1.0,8.5,0,03-17
2021-03-18,izmir-aliaga,4,0,8.8,66.9,0.0,72.7,225.9,2.3,1.0,7.6,0,03-18
2021-03-19,izmir-aliaga,10,0,9.6,96.5,0.0,67.8,157.7,3.1,1.0,8.0,0,03-19
2021-03-20,izmir-aliaga,8,0,11.3,97.7,0.0,93.9,147.4,2.8,1.0,11.5,0,03-20
2021-03-21,izmir-aliaga,7,0,12.0,70.0,0.0,90.5,84.8,2.3,1.0,12.2,0,03-21
2021-03-22,izmir-aliaga,6,0,11.4,33.6,0.0,90.9,66.4,3.2,1.0,11.4,0,03-22
2021-03-23,izmir-aliaga,3,0,14.3,79.2,0.0,76.6,190.8,4.6,54.2,13.9,0,03-23
2021-03-24,izmir-aliaga,5,0,5.5,50.7,0.0,71.1,16.8,6.5,1.0,1.3,0,03-24
2021-03-25,izmir-aliaga,7,1,4.0,97.2,0.0,74.9,34.0,5.2,1.0,-0.1,0,03-25
2021-03-26,izmir-aliaga,3,0,3.8,0.0,0.0,67.1,43.2,4.7,1.0,0.0,0,03-26
2021-03-27,izmir-aliaga,1,0,7.6,1.1,0.0,64.6,75.5,2.7,1.0,5.8,0,03-27
2021-03-28,izmir-aliaga,2,0,9.2,0.0,0.0,72.1,56.2,1.9,1.0,8.3,0,03-28
2021-03-29,izmir-aliaga,7,1,11.3,0.0,0.0,77.9,3.5,2.0,1.0,11.3,0,03-29
2021-03-30,izmir-aliaga,3,0,9.8,12.9,0.0,60.0,50.0,6.6,1.0,6.8,0,03-30
2021-03-31,izmir-aliaga,15,0,7.0,17.7,0.0,77.5,29.4,5.5,1.0,3.6,0,03-31
2021-04-02,izmir-aliaga,5,2,7.4,0.4,0.0,80.3,50.8,3.2,1.0,5.3,0,04-02
2021-04-03,izmir-aliaga,5,0,11.9,22.8,0.0,67.3,166.9,3.8,1.0,11.5,0,04-03
2021-04-04,izmir-aliaga,6,2,13.7,12.3,0.0,86.7,168.3,5.0,1.0,13.6,0,04-04
2021-04-05,izmir-aliaga,4,0,16.3,98.1,0.0,63.6,178.3,9.1,93.3,14.5,0,04-05
2021-04-06,izmir-aliaga,3,0,12.2,49.5,0.0,99.1,72.2,1.4,1.0,12.8,0,04-06
2021-04-07,izmir-aliaga,5,0,15.1,69.9,0.0,87.3,179.5,6.3,1.0,15.0,0,04-07
2021-04-08,izmir-aliaga,9,1,14.0,21.2,0.0,88.0,168.6,4.8,1.0,14.0,0,04-08
2021-04-09,izmir-aliaga,2,0,6.9,76.7,0.0,75.3,17.5,5.6,1.0,3.5,0,04-09
2021-04-10,izmir-aliaga,2,2,6.1,0.8,0.0,67.4,20.6,5.7,1.0,2.3,0,04-10
2021-04-11,izmir-aliaga,3,2,7.4,0.0,0.0,60.3,42.6,4.5,1.0,4.5,0,04-11
2021-04-12,izmir-aliaga,8,0,8.8,0.0,0.0,61.6,36.7,5.4,1.0,5.9,0,04-12
2021-04-13,izmir-aliaga,2,1,10.8,7.0,0.0,75.6,89.7,1.9,1.0,10.7,0,04-13
2021-04-14,izmir-aliaga,5,0,13.1,15.9,0.0,77.3,171.3,3.5,1.0,12.8,0,04-14
2021-04-15,izmir-aliaga,6,0,14.0,14.2,0.0,87.7,171.7,4.2,1.0,14.1,0,04-15
2021-04-16,izmir-aliaga,9,0,14.3,74.1,0.0,91.3,202.7,1.7,1.0,15.1,0,04-16
2021-04-17,izmir-aliaga,7,0,14.2,49.7,0.0,85.2,54.1,4.1,1.0,14.2,0,04-17
2021-04-18,izmir-aliaga,3,0,15.7,79.3,0.0,81.7,78.4,1.7,25.2,16.3,0,04-18
2021-04-19,izmir-aliaga,18,0,17.1,98.2,0.0,80.0,148.9,5.5,29.9,16.9,0,04-19
2021-04-20,izmir-aliaga,14,0,13.9,8.6,0.0,87.8,183.0,4.4,1.0,13.9,0,04-20
2021-04-21,izmir-aliaga,6,0,12.3,0.0,0.0,84.0,218.6,1.4,1.0,12.6,0,04-21
2021-04-22,izmir-aliaga,7,0,13.8,0.0,0.0,88.3,244.0,1.5,1.0,14.4,0,04-22
2021-04-23,izmir-aliaga,5,0,15.5,45.1,0.0,68.6,155.6,0.6,1.0,16.0,1,04-23
2021-04-24,izmir-aliaga,11,0,16.8,81.1,0.0,72.8,29.5,3.3,1.0,16.4,0,04-24
2021-04-25,izmir-aliaga,3,0,14.6,97.5,0.0,87.7,57.9,4.1,3.3,14.7,0,04-25
2021-04-26,izmir-aliaga,6,0,11.4,21.1,0.0,79.0,30.9,6.5,1.0,11.1,0,04-26
2021-04-27,izmir-aliaga,4,0,11.4,0.0,0.0,76.7,41.5,3.2,1.0,11.3,0,04-27
2021-04-28,izmir-aliaga,4,0,15.4,47.0,0.0,61.6,176.8,3.3,1.0,14.4,0,04-28
2021-04-29,izmir-aliaga,11,0,18.3,62.0,0.0,62.6,243.9,2.6,18.6,17.5,0,04-29
2021-04-30,izmir-aliaga,1,0,18.3,0.3,0.0,59.4,148.6,1.6,1.0,17.6,0,04-30
2021-05-01,izmir-aliaga,8,0,18.8,24.8,0.0,69.1,114.5,1.5,1.0,19.0,1,05-01
2021-05-02,izmir-aliaga,3,1,19.3,44.7,0.0,70.0,138.8,1.4,1.0,19.8,0,05-02
2021-05-03,izmir-aliaga,2,0,22.5,22.7,0.0,40.4,184.5,5.0,1.0,19.4,0,05-03
2021-05-04,izmir-aliaga,5,0,20.0,99.6,0.0,61.7,65.4,2.1,1.0,19.3,0,05-04
2021-05-05,izmir-aliaga,4,0,18.3,47.0,0.0,74.0,50.0,3.6,3.9,18.1,0,05-05
2021-05-06,izmir-aliaga,2,0,17.1,2.7,0.0,74.6,193.7,1.4,1.0,17.5,0,05-06
2021-05-07,izmir-aliaga,6,1,18.6,0.0,0.0,83.0,113.8,0.8,1.0,20.5,0,05-07
2021-05-08,izmir-aliaga,8,0,19.9,41.9,0.0,58.2,159.3,1.1,6.5,19.4,0,05-08
2021-05-09,izmir-aliaga,3,2,17.3,0.0,0.0,70.6,53.3,6.6,1.0,16.3,0,05-09
2021-05-10,izmir-aliaga,4,0,14.1,0.0,0.0,58.3,39.3,7.4,1.0,12.7,0,05-10
2021-05-11,izmir-aliaga,8,0,14.3,0.0,0.0,61.8,47.1,6.0,1.0,13.0,0,05-11
2021-05-12,izmir-aliaga,5,0,15.3,0.0,0.0,55.5,54.6,3.8,1.0,13.9,0,05-12
2021-05-13,izmir-aliaga,3,0,16.8,0.5,0.0,66.8,185.1,1.7,1.0,16.6,1,05-13
2021-05-14,izmir-aliaga,2,0,17.4,0.0,0.0,84.3,172.5,3.7,1.0,17.8,1,05-14
2021-05-15,izmir-aliaga,3,0,16.8,0.0,0.0,82.7,154.9,1.0,1.0,18.0,1,05-15
2021-05-16,izmir-aliaga,2,0,17.1,59.0,0.0,81.0,197.4,2.5,1.0,17.6,0,05-16
2021-05-17,izmir-aliaga,7,0,16.3,16.4,0.0,94.9,260.5,2.4,1.0,17.5,0,05-17
2021-05-18,izmir-aliaga,5,0,19.5,1.3,0.0,66.5,178.2,4.1,1.0,18.6,0,05-18
2021-05-19,izmir-aliaga,4,0,19.2,4.8,0.0,68.4,153.0,0.8,1.0,20.0,1,05-19
2021-05-20,izmir-aliaga,4,0,20.2,0.0,0.0,72.9,188.9,5.3,1.0,19.9,0,05-20
2021-05-21,izmir-aliaga,2,1,19.3,0.0,0.0,73.8,154.8,2.4,1.0,19.6,0,05-21
2021-05-22,izmir-aliaga,3,0,14.6,0.0,0.0,80.4,4.4,3.4,1.0,14.5,0,05-22
2021-05-23,izmir-aliaga,1,1,17.1,0.0,0.0,63.5,45.8,2.7,1.0,16.3,0,05-23
2021-05-24,izmir-aliaga,6,2,18.8,0.0,0.0,74.0,26.0,2.2,1.0,19.1,0,05-24
2021-05-25,izmir-aliaga,6,1,22.2,0.0,0.0,56.8,53.8,5.3,1.0,20.7,0,05-25
2021-05-26,izmir-aliaga,3,0,20.2,0.0,0.0,59.3,39.7,3.4,1.0,19.0,0,05-26
2021-05-27,izmir-aliaga,7,0,20.8,45.8,0.0,67.5,53.4,4.2,1.0,20.2,0,05-27
2021-05-28,izmir-aliaga,7,0,18.2,0.7,0.0,94.9,353.8,0.9,1.0,20.9,0,05-28
2021-05-29,izmir-aliaga,4,0,18.9,2.4,0.0,87.2,2.5,2.6,1.0,20.3,0,05-29
2021-05-30,izmir-aliaga,4,0,19.5,0.0,0.0,65.9,47.6,3.3,1.0,18.8,0,05-30
2021-05-31,izmir-aliaga,4,1,19.6,74.5,0.0,78.9,162.7,1.9,1.0,20.7,0,05-31
2021-06-01,izmir-aliaga,3,0,18.3,14.1,0.0,86.3,263.3,3.2,1.0,19.2,0,06-01
2021-06-02,izmir-aliaga,6,0,18.0,28.9,0.0,69.9,268.6,2.6,2.6,17.8,0,06-02
2021-06-03,izmir-aliaga,6,0,16.9,0.6,0.0,65.8,52.1,4.0,1.0,15.9,0,06-03
2021-06-04,izmir-aliaga,6,0,18.5,0.0,0.0,68.0,43.8,4.4,1.0,17.7,0,06-04
2021-06-05,izmir-aliaga,2,2,19.1,3.1,0.0,53.6,28.2,4.6,1.0,17.0,0,06-05
2021-06-06,izmir-aliaga,10,0,19.3,0.0,0.0,51.6,21.7,3.8,1.0,17.1,0,06-06
2021-06-07,izmir-aliaga,12,0,21.7,1.2,0.0,60.1,20.8,0.7,1.0,21.9,0,06-07
2021-06-08,izmir-aliaga,5,0,20.4,18.5,0.0,78.3,222.5,1.5,1.0,21.8,0,06-08
2021-06-09,izmir-aliaga,8,2,21.5,5.5,0.0,78.2,43.7,3.7,1.0,22.3,0,06-09
2021-06-10,izmir-aliaga,2,0,21.9,6.2,0.0,59.7,37.4,4.2,1.0,20.8,0,06-10
2021-06-11,izmir-aliaga,1,1,22.6,3.8,0.0,59.1,47.2,3.8,1.0,21.6,0,06-11
2021-06-12,izmir-aliaga,3,0,21.6,1.3,0.0,72.1,49.1,1.8,1.0,22.4,0,06-12
2021-06-13,izmir-aliaga,4,0,21.2,0.0,0.0,77.8,146.0,0.8,1.0,23.1,0,06-13
2021-06-14,izmir-aliaga,12,0,20.6,19.7,0.0,86.6,285.7,1.4,1.0,22.8,0,06-14
2021-06-15,izmir-aliaga,5,0,17.2,3.9,0.0,73.5,43.7,4.0,1.0,16.7,0,06-15
2021-06-16,izmir-aliaga,8,0,18.7,1.0,0.0,74.3,0.1,3.4,1.0,18.6,0,06-16
2021-06-17,izmir-aliaga,10,0,19.6,2.6,0.0,91.8,117.9,0.7,1.0,22.8,0,06-17
2021-06-18,izmir-aliaga,12,1,21.7,1.3,0.0,81.2,194.3,0.4,1.0,24.4,0,06-18
2021-06-19,izmir-aliaga,16,0,21.2,28.7,0.0,96.9,229.5,0.9,1.0,24.9,0,06-19
2021-06-20,izmir-aliaga,5,0,21.5,0.0,0.0,85.9,59.0,1.2,1.0,24.0,0,06-20
2021-06-21,izmir-aliaga,4,0,22.8,2.4,0.0,72.7,50.1,3.9,1.0,23.3,0,06-21
2021-06-22,izmir-aliaga,1,1,23.6,36.6,0.0,65.6,32.0,2.6,1.0,23.7,0,06-22
2021-06-23,izmir-aliaga,5,0,23.2,13.3,0.0,83.0,92.1,1.3,1.0,25.4,0,06-23
2021-06-24,izmir-aliaga,1,0,25.4,0.0,0.0,74.8,57.9,3.4,1.0,26.6,0,06-24
2021-06-25,izmir-aliaga,2,2,25.8,0.4,0.0,60.9,29.8,3.8,1.0,25.6,0,06-25
2021-06-26,izmir-aliaga,25,0,27.1,2.5,0.0,63.7,27.1,2.1,1.0,27.7,0,06-26
2021-06-27,izmir-aliaga,15,0,26.4,0.0,0.0,64.2,34.6,2.9,1.0,26.8,0,06-27
2021-06-28,izmir-aliaga,3,1,26.8,0.0,0.0,59.8,48.1,4.8,1.0,26.6,0,06-28
2021-06-29,izmir-aliaga,9,0,26.2,0.4,0.0,61.0,36.5,4.9,1.0,26.0,0,06-29
2021-06-30,izmir-aliaga,8,0,25.9,0.0,0.0,63.5,33.9,5.2,1.0,25.9,0,06-30
2021-07-01,izmir-aliaga,7,0,26.8,0.0,0.0,51.3,55.3,3.1,1.0,25.9,0,07-01
2021-07-02,izmir-aliaga,2,0,28.6,0.0,0.0,47.4,178.3,3.9,1.0,27.5,0,07-02
2021-07-03,izmir-aliaga,5,0,25.9,2.8,0.0,66.6,50.1,4.9,1.0,26.2,0,07-03
2021-07-04,izmir-aliaga,4,0,24.0,0.3,0.0,60.3,32.3,2.1,1.0,23.8,0,07-04
2021-07-05,izmir-aliaga,6,2,23.6,0.0,0.0,68.6,19.9,1.6,1.0,24.3,0,07-05
2021-07-06,izmir-aliaga,4,0,24.3,7.1,0.0,78.2,346.6,1.3,1.0,26.2,0,07-06
2021-07-07,izmir-aliaga,5,0,25.1,3.2,0.0,67.2,41.2,4.2,1.0,25.4,0,07-07
2021-07-08,izmir-aliaga,3,0,25.5,0.2,0.0,68.8,35.8,5.8,1.0,25.8,0,07-08
2021-07-09,izmir-aliaga,8,1,23.9,0.0,0.0,73.8,32.6,6.6,1.0,24.3,0,07-09
2021-07-10,izmir-aliaga,3,0,24.4,0.0,0.0,62.9,30.8,5.9,1.0,23.8,0,07-10
2021-07-11,izmir-aliaga,5,2,24.5,0.0,0.0,63.3,38.0,6.7,1.0,23.9,0,07-11
2021-07-12,izmir-aliaga,5,0,25.8,0.0,0.0,61.4,41.7,5.7,1.0,25.4,0,07-12
2021-07-13,izmir-aliaga,5,1,25.7,0.0,0.0,61.3,24.4,4.4,1.0,25.5,0,07-13
2021-07-14,izmir-aliaga,7,1,26.2,0.0,0.0,55.1,43.6,5.3,1.0,25.3,0,07-14
2021-07-15,izmir-aliaga,9,0,25.2,0.0,0.0,67.1,31.0,5.0,1.0,25.4,1,07-15
2021-07-16,izmir-aliaga,8,0,26.7,0.0,0.0,60.6,45.9,4.9,1.0,26.6,0,07-16
2021-07-17,izmir-aliaga,4,0,26.2,0.0,0.0,65.1,56.0,2.6,1.0,26.6,0,07-17
2021-07-18,izmir-aliaga,11,0,23.5,0.0,0.0,86.9,125.3,1.1,1.0,26.3,0,07-18
2021-07-19,izmir-aliaga,7,0,24.5,0.0,0.0,76.6,129.6,1.4,1.0,26.2,0,07-19
2021-07-20,izmir-aliaga,7,0,24.4,0.0,0.0,87.9,178.0,3.3,1.0,26.8,1,07-20
2021-07-21,izmir-aliaga,12,0,24.2,0.0,0.0,96.5,243.7,1.0,1.0,28.0,1,07-21
2021-07-22,izmir-aliaga,6,0,26.8,0.0,0.0,62.0,32.5,4.4,1.0,26.8,1,07-22
2021-07-23,izmir-aliaga,4,0,23.5,0.0,0.0,59.9,32.6,7.5,1.0,22.3,1,07-23
2021-07-24,izmir-aliaga,4,0,22.9,0.0,0.0,65.7,33.8,6.7,1.0,22.2,0,07-24
2021-07-25,izmir-aliaga,6,0,23.4,2.4,0.0,67.4,34.2,6.4,1.0,23.0,0,07-25
2021-07-26,izmir-aliaga,6,1,24.0,0.0,0.0,66.7,32.9,6.4,1.0,23.7,0,07-26
2021-07-27,izmir-aliaga,6,1,25.2,0.0,0.0,63.9,40.9,5.2,1.0,25.0,0,07-27
2021-07-28,izmir-aliaga,6,0,26.3,0.0,0.0,59.2,36.5,6.3,1.0,25.8,0,07-28
2021-07-29,izmir-aliaga,7,0,27.3,0.0,0.0,47.2,33.2,5.4,1.0,25.9,0,07-29
2021-07-30,izmir-aliaga,4,0,27.7,0.0,0.0,48.0,33.5,5.8,1.0,26.3,0,07-30
2021-07-31,izmir-aliaga,4,0,29.4,0.0,0.0,39.5,43.8,5.5,1.0,27.6,0,07-31
2021-08-01,izmir-aliaga,10,1,28.9,0.0,0.0,46.9,20.9,2.2,1.0,28.0,0,08-01
2021-08-02,izmir-aliaga,3,0,28.8,0.0,0.0,51.1,48.2,5.3,1.0,28.0,0,08-02
2021-08-03,izmir-aliaga,8,4,28.1,0.0,0.0,50.7,38.2,1.8,1.0,27.6,0,08-03
2021-08-04,izmir-aliaga,5,0,29.4,0.0,0.0,57.8,52.8,5.3,1.0,29.4,0,08-04
2021-08-05,izmir-aliaga,9,1,28.1,0.0,0.0,57.5,34.6,2.7,1.0,28.1,0,08-05
2021-08-06,izmir-aliaga,4,0,27.8,0.0,0.0,52.5,102.0,1.1,1.0,27.6,0,08-06
2021-08-07,izmir-aliaga,6,1,24.9,0.8,0.0,87.1,211.4,1.2,1.0,27.8,0,08-07
2021-08-08,izmir-aliaga,2,0,25.1,0.0,0.0,55.6,37.4,5.0,1.0,24.1,0,08-08
2021-08-09,izmir-aliaga,5,1,25.2,0.0,0.0,53.5,35.6,4.2,1.0,24.1,0,08-09
2021-08-10,izmir-aliaga,2,1,26.8,0.0,0.0,43.2,10.0,3.4,1.0,25.0,0,08-10
2021-08-11,izmir-aliaga,4,0,28.3,0.0,0.0,46.1,46.1,4.7,1.0,27.0,0,08-11
2021-08-12,izmir-aliaga,4,0,27.8,0.8,0.0,55.2,46.9,5.5,1.0,27.3,0,08-12
2021-08-13,izmir-aliaga,2,0,25.8,0.0,0.0,54.1,39.3,6.2,1.0,24.7,0,08-13
2021-08-14,izmir-aliaga,4,1,24.5,0.0,0.0,56.1,36.4,6.9,1.0,23.2,0,08-14
2021-08-15,izmir-aliaga,2,0,23.7,0.0,0.0,58.8,41.7,6.7,1.0,22.5,0,08-15
2021-08-16,izmir-aliaga,5,2,23.6,0.0,0.0,61.0,47.6,5.3,1.0,22.8,0,08-16
2021-08-17,izmir-aliaga,9,3,24.3,0.0,0.0,59.3,53.0,4.5,1.0,23.6,0,08-17
2021-08-18,izmir-aliaga,6,2,23.0,0.0,0.0,88.0,145.4,0.4,1.0,26.4,0,08-18
2021-08-19,izmir-aliaga,9,1,25.2,0.0,0.0,60.7,52.6,3.9,1.0,24.8,0,08-19
2021-08-20,izmir-aliaga,4,1,23.9,0.0,0.0,74.2,49.4,6.3,1.0,24.3,0,08-20
2021-08-21,izmir-aliaga,1,1,22.9,0.0,0.0,56.7,40.6,5.5,1.0,21.5,0,08-21
2021-08-23,izmir-aliaga,4,0,23.7,0.0,0.0,69.3,41.3,6.8,1.0,23.5,0,08-23
2021-08-24,izmir-aliaga,4,1,24.0,0.0,0.0,69.3,43.4,5.1,1.0,24.1,0,08-24
2021-08-25,izmir-aliaga,2,0,24.5,0.0,0.0,69.2,51.9,4.3,1.0,24.8,0,08-25
2021-08-26,izmir-aliaga,6,2,22.6,0.0,0.0,91.1,103.7,0.8,1.0,25.9,0,08-26
2021-08-27,izmir-aliaga,0,1,24.2,1.3,0.0,73.8,171.4,0.4,1.0,26.3,0,08-27
